agent,flops_step,memory_bytes,t
co:CO_router,1,0,1
co:CO_router,1,0,2
co:CO_router,1,0,3
co:CO_router,1,0,4
co:CO_router,1,0,5
co:CO_router,1,0,6
co:CO_router,1,0,7
co:CO_router,1,0,8
co:CO_router,1,0,9
co:CO_router,1,0,10
co:CO_router,1,0,11
co:CO_router,1,0,12
co:CO_router,1,0,13
co:CO_router,1,0,14
co:CO_router,1,0,15
co:CO_router,1,0,16
co:CO_router,1,0,17
co:CO_router,1,0,18
co:CO_router,1,0,19
co:CO_router,1,0,20
co:CO_router,1,0,21
co:CO_router,1,0,22
co:CO_router,1,0,23
co:CO_router,1,0,24
co:CO_router,1,0,25
co:CO_router,1,0,26
co:CO_router,1,0,27
co:CO_router,1,0,28
co:CO_router,1,0,29
co:CO_router,1,0,30
co:CO_router,1,0,31
co:CO_router,1,0,32
co:CO_router,1,0,33
co:CO_router,1,0,34
co:CO_router,1,0,35
co:CO_router,1,0,36
co:CO_router,1,0,37
co:CO_router,1,0,38
co:CO_router,1,0,39
co:CO_router,1,0,40
co:CO_router,1,0,41
co:CO_router,1,0,42
co:CO_router,1,0,43
co:CO_router,1,0,44
co:CO_router,1,0,45
co:CO_router,1,0,46
co:CO_router,1,0,47
co:CO_router,1,0,48
co:CO_router,1,0,49
co:CO_router,1,0,50
co:CO_router,1,0,51
co:CO_router,1,0,52
co:CO_router,1,0,53
co:CO_router,1,0,54
co:CO_router,1,0,55
co:CO_router,1,0,56
co:CO_router,1,0,57
co:CO_router,1,0,58
co:CO_router,1,0,59
co:CO_router,1,0,60
co:CO_router,1,0,61
co:CO_router,1,0,62
co:CO_router,1,0,63
co:CO_router,1,0,64
co:CO_router,1,0,65
co:CO_router,1,0,66
co:CO_router,1,0,67
co:CO_router,1,0,68
co:CO_router,1,0,69
co:CO_router,1,0,70
co:CO_router,1,0,71
co:CO_router,1,0,72
co:CO_router,1,0,73
co:CO_router,1,0,74
co:CO_router,1,0,75
co:CO_router,1,0,76
