family,agent,family_mean_final_regret,n_problems,family_mean_steps,n_envs,family_mean_final_cum_reward,n_instances
bandit,co_CO_full,85.20000000000012,1,,,,
bandit,co_CO_full_QA,85.20000000000012,1,,,,
bandit,kl_ucb,8.899999999999999,1,,,,
bandit,ucb1,17.299999999999997,1,,,,
maze,astar_s0,,,16.0,1,,
maze,bfs_s0,,,16.0,1,,
maze,co_CO_full_QA_s0,,,5001.0,1,,
maze,co_CO_full_s0,,,5001.0,1,,
renewal,co_CO_full,,,,,17.0,1
renewal,co_CO_full_QA,,,,,17.0,1
renewal,last,,,,,16.0,1
renewal,phase,,,,,48.0,1
