agent,flops_step,memory_bytes,t
epsgreedy,1,0,1
epsgreedy,1,0,2
epsgreedy,1,0,3
epsgreedy,1,0,4
epsgreedy,1,0,5
epsgreedy,1,0,6
epsgreedy,1,0,7
epsgreedy,1,0,8
epsgreedy,1,0,9
epsgreedy,1,0,10
epsgreedy,1,0,11
epsgreedy,1,0,12
epsgreedy,1,0,13
epsgreedy,1,0,14
epsgreedy,1,0,15
epsgreedy,1,0,16
epsgreedy,1,0,17
epsgreedy,1,0,18
epsgreedy,1,0,19
epsgreedy,1,0,20
epsgreedy,1,0,21
epsgreedy,1,0,22
epsgreedy,1,0,23
epsgreedy,1,0,24
epsgreedy,1,0,25
epsgreedy,1,0,26
epsgreedy,1,0,27
epsgreedy,1,0,28
epsgreedy,1,0,29
epsgreedy,1,0,30
epsgreedy,1,0,31
epsgreedy,1,0,32
epsgreedy,1,0,33
epsgreedy,1,0,34
epsgreedy,1,0,35
epsgreedy,1,0,36
epsgreedy,1,0,37
epsgreedy,1,0,38
epsgreedy,1,0,39
epsgreedy,1,0,40
epsgreedy,1,0,41
epsgreedy,1,0,42
epsgreedy,1,0,43
epsgreedy,1,0,44
epsgreedy,1,0,45
epsgreedy,1,0,46
epsgreedy,1,0,47
epsgreedy,1,0,48
epsgreedy,1,0,49
epsgreedy,1,0,50
epsgreedy,1,0,51
epsgreedy,1,0,52
epsgreedy,1,0,53
epsgreedy,1,0,54
epsgreedy,1,0,55
epsgreedy,1,0,56
epsgreedy,1,0,57
epsgreedy,1,0,58
epsgreedy,1,0,59
epsgreedy,1,0,60
epsgreedy,1,0,61
epsgreedy,1,0,62
epsgreedy,1,0,63
epsgreedy,1,0,64
epsgreedy,1,0,65
epsgreedy,1,0,66
epsgreedy,1,0,67
epsgreedy,1,0,68
epsgreedy,1,0,69
epsgreedy,1,0,70
epsgreedy,1,0,71
epsgreedy,1,0,72
epsgreedy,1,0,73
epsgreedy,1,0,74
epsgreedy,1,0,75
epsgreedy,1,0,76
epsgreedy,1,0,77
epsgreedy,1,0,78
epsgreedy,1,0,79
epsgreedy,1,0,80
epsgreedy,1,0,81
epsgreedy,1,0,82
epsgreedy,1,0,83
epsgreedy,1,0,84
epsgreedy,1,0,85
epsgreedy,1,0,86
epsgreedy,1,0,87
epsgreedy,1,0,88
epsgreedy,1,0,89
epsgreedy,1,0,90
epsgreedy,1,0,91
epsgreedy,1,0,92
epsgreedy,1,0,93
epsgreedy,1,0,94
epsgreedy,1,0,95
epsgreedy,1,0,96
epsgreedy,1,0,97
epsgreedy,1,0,98
epsgreedy,1,0,99
epsgreedy,1,0,100
epsgreedy,1,0,101
epsgreedy,1,0,102
epsgreedy,1,0,103
epsgreedy,1,0,104
epsgreedy,1,0,105
epsgreedy,1,0,106
epsgreedy,1,0,107
epsgreedy,1,0,108
epsgreedy,1,0,109
epsgreedy,1,0,110
epsgreedy,1,0,111
epsgreedy,1,0,112
epsgreedy,1,0,113
epsgreedy,1,0,114
epsgreedy,1,0,115
epsgreedy,1,0,116
epsgreedy,1,0,117
epsgreedy,1,0,118
epsgreedy,1,0,119
epsgreedy,1,0,120
epsgreedy,1,0,121
epsgreedy,1,0,122
epsgreedy,1,0,123
epsgreedy,1,0,124
epsgreedy,1,0,125
epsgreedy,1,0,126
epsgreedy,1,0,127
epsgreedy,1,0,128
epsgreedy,1,0,129
epsgreedy,1,0,130
epsgreedy,1,0,131
epsgreedy,1,0,132
epsgreedy,1,0,133
epsgreedy,1,0,134
epsgreedy,1,0,135
epsgreedy,1,0,136
epsgreedy,1,0,137
epsgreedy,1,0,138
epsgreedy,1,0,139
epsgreedy,1,0,140
epsgreedy,1,0,141
epsgreedy,1,0,142
epsgreedy,1,0,143
epsgreedy,1,0,144
epsgreedy,1,0,145
epsgreedy,1,0,146
epsgreedy,1,0,147
epsgreedy,1,0,148
epsgreedy,1,0,149
epsgreedy,1,0,150
epsgreedy,1,0,151
epsgreedy,1,0,152
epsgreedy,1,0,153
epsgreedy,1,0,154
epsgreedy,1,0,155
epsgreedy,1,0,156
epsgreedy,1,0,157
epsgreedy,1,0,158
epsgreedy,1,0,159
epsgreedy,1,0,160
epsgreedy,1,0,161
epsgreedy,1,0,162
epsgreedy,1,0,163
epsgreedy,1,0,164
epsgreedy,1,0,165
epsgreedy,1,0,166
epsgreedy,1,0,167
epsgreedy,1,0,168
epsgreedy,1,0,169
epsgreedy,1,0,170
epsgreedy,1,0,171
epsgreedy,1,0,172
epsgreedy,1,0,173
epsgreedy,1,0,174
epsgreedy,1,0,175
epsgreedy,1,0,176
epsgreedy,1,0,177
epsgreedy,1,0,178
epsgreedy,1,0,179
epsgreedy,1,0,180
epsgreedy,1,0,181
epsgreedy,1,0,182
epsgreedy,1,0,183
epsgreedy,1,0,184
epsgreedy,1,0,185
epsgreedy,1,0,186
epsgreedy,1,0,187
epsgreedy,1,0,188
epsgreedy,1,0,189
epsgreedy,1,0,190
epsgreedy,1,0,191
epsgreedy,1,0,192
epsgreedy,1,0,193
epsgreedy,1,0,194
epsgreedy,1,0,195
epsgreedy,1,0,196
epsgreedy,1,0,197
epsgreedy,1,0,198
epsgreedy,1,0,199
epsgreedy,1,0,200
epsgreedy,1,0,201
epsgreedy,1,0,202
epsgreedy,1,0,203
epsgreedy,1,0,204
epsgreedy,1,0,205
epsgreedy,1,0,206
epsgreedy,1,0,207
epsgreedy,1,0,208
epsgreedy,1,0,209
epsgreedy,1,0,210
epsgreedy,1,0,211
epsgreedy,1,0,212
epsgreedy,1,0,213
epsgreedy,1,0,214
epsgreedy,1,0,215
epsgreedy,1,0,216
epsgreedy,1,0,217
epsgreedy,1,0,218
epsgreedy,1,0,219
epsgreedy,1,0,220
epsgreedy,1,0,221
epsgreedy,1,0,222
epsgreedy,1,0,223
epsgreedy,1,0,224
epsgreedy,1,0,225
epsgreedy,1,0,226
epsgreedy,1,0,227
epsgreedy,1,0,228
epsgreedy,1,0,229
epsgreedy,1,0,230
epsgreedy,1,0,231
epsgreedy,1,0,232
epsgreedy,1,0,233
epsgreedy,1,0,234
epsgreedy,1,0,235
epsgreedy,1,0,236
epsgreedy,1,0,237
epsgreedy,1,0,238
epsgreedy,1,0,239
epsgreedy,1,0,240
epsgreedy,1,0,241
epsgreedy,1,0,242
epsgreedy,1,0,243
epsgreedy,1,0,244
